Year,County,Region,Child Population,% of Children in Total Population,Total Population
2020,Refugio,11-Edinburg,1711,23,7573
2020,Roberts,1-Lubbock,221,22,983
2020,Robertson,7-Austin,3688,22,16888
2020,Rockwall,3-Arlington,24314,24,102243
2020,Runnels,2-Abilene,2576,23,11009
2020,Rusk,4-Tyler,11349,22,52767
2020,Sabine,5-Beaumont,1832,18,9936
2020,San Augustine,5-Beaumont,1629,19,8405
2020,San Jacinto,5-Beaumont,6385,22,28844
2020,San Patricio,11-Edinburg,18318,26,71325
2020,San Saba,7-Austin,1179,20,5873
2020,Schleicher,9-Midland,829,25,3312
2020,Scurry,2-Abilene,4621,25,18368
2020,Shackelford,2-Abilene,767,23,3405
2020,Shelby,5-Beaumont,6658,26,25545
2020,Sherman,1-Lubbock,855,26,3276
2020,Smith,4-Tyler,57206,24,235143
2020,Somervell,3-Arlington,1973,21,9294
2020,Starr,11-Edinburg,19930,31,64731
2020,Stephens,2-Abilene,2169,23,9570
2020,Sterling,9-Midland,259,21,1252
2020,Stonewall,2-Abilene,309,20,1523
2020,Sutton,9-Midland,995,23,4381
2020,Swisher,1-Lubbock,1772,24,7414
2020,Tarrant,3-Arlington,541243,25,2143755
2020,Taylor,2-Abilene,34267,25,139457
2020,Terrell,9-Midland,208,20,1054
2020,Terry,1-Lubbock,3460,27,13040
2020,Throckmorton,2-Abilene,311,20,1519
2020,Titus,4-Tyler,9112,28,32953
2020,Tom Green,9-Midland,28124,23,123276
2020,Travis,7-Austin,287355,22,1291502
2020,Trinity,5-Beaumont,2650,19,14233
2020,Tyler,5-Beaumont,4222,20,21343
2020,Upshur,4-Tyler,9140,22,41655
2020,Upton,9-Midland,1053,26,3983
2020,Uvalde,8-San Antonio,6960,25,27937
2020,Val Verde,8-San Antonio,13510,28,48253
2020,Van Zandt,4-Tyler,12465,22,55469
2020,Victoria,8-San Antonio,23146,24,97744
2020,Walker,6-Houston,13097,18,73997
2020,Waller,6-Houston,11528,23,50731
2020,Ward,9-Midland,3955,29,13592
2020,Washington,7-Austin,7701,22,35155
2020,Webb,11-Edinburg,81575,30,276183
2020,Wharton,6-Houston,10603,25,41941
2020,Wheeler,1-Lubbock,1471,25,5783
2020,Wichita,2-Abilene,29489,22,133138
2020,Wilbarger,2-Abilene,2978,23,13038
2020,Willacy,11-Edinburg,5419,24,22134
2020,Williamson,7-Austin,147318,25,589914
2020,Wilson,8-San Antonio,11438,22,51802
2020,Winkler,9-Midland,2869,31,9295
2020,Wise,3-Arlington,14855,23,65807
2020,Wood,4-Tyler,8963,20,45292
2020,Yoakum,1-Lubbock,2906,32,9225
2020,Young,2-Abilene,4396,23,18712
2020,Zapata,11-Edinburg,4616,32,14409
2020,Zavala,8-San Antonio,3907,31,12682
2019,Anderson,4-Tyler,10851,19,58248
2019,Andrews,9-Midland,6515,31,21305
2019,Angelina,5-Beaumont,23060,26,90151
2019,Aransas,11-Edinburg,5075,19,27198
2019,Archer,2-Abilene,1727,21,8393
2019,Armstrong,1-Lubbock,338,17,1951
2019,Atascosa,8-San Antonio,13281,26,51048
2019,Austin,6-Houston,6916,23,30207
2019,Bailey,1-Lubbock,2335,31,7638
2019,Bandera,8-San Antonio,3427,16,21174
2019,Bastrop,7-Austin,20654,24,84866
2019,Baylor,2-Abilene,805,22,3629
2019,Bee,11-Edinburg,7459,22,34195
2019,Bell,7-Austin,101702,29,349441
2019,Bexar,8-San Antonio,525295,26,2053260
2019,Blanco,7-Austin,2112,19,11393
2019,Borden,9-Midland,111,16,681
2019,Bosque,7-Austin,3717,21,17793
2019,Bowie,4-Tyler,19806,21,92596
2019,Brazoria,6-Houston,93559,25,369156
2019,Brazos,7-Austin,49491,22,225224
2019,Brewster,10-El Paso,2029,22,9157
2019,Briscoe,1-Lubbock,318,20,1572
2019,Brooks,11-Edinburg,1861,26,7178
2019,Brown,2-Abilene,8534,22,38873
2019,Burleson,7-Austin,3955,22,17649
2019,Burnet,7-Austin,10273,22,47634
2019,Caldwell,7-Austin,10861,25,43618
2019,Calhoun,8-San Antonio,5652,25,22707
2019,Callahan,2-Abilene,2643,20,13454
2019,Cameron,11-Edinburg,125889,30,426216
2019,Camp,4-Tyler,3294,25,13231
2019,Carson,1-Lubbock,1317,23,5832
2019,Cass,4-Tyler,6695,22,30365
2019,Castro,1-Lubbock,1956,27,7190
2019,Chambers,6-Houston,10690,26,41451
2019,Cherokee,4-Tyler,13208,25,52090
2019,Childress,1-Lubbock,1431,20,7068
2019,Clay,2-Abilene,1940,20,9885
2019,Cochran,1-Lubbock,968,29,3315
2019,Coke,9-Midland,611,19,3226
2019,Coleman,2-Abilene,1934,23,8527
2019,Collin,3-Arlington,255641,25,1010828
2019,Collingsworth,1-Lubbock,850,27,3188
2019,Colorado,6-Houston,4923,23,21239
2019,Comal,8-San Antonio,31531,22,142701
2019,Comanche,2-Abilene,2978,23,13173
2019,Concho,9-Midland,565,14,4136
2019,Cooke,3-Arlington,8993,23,39595
2019,Coryell,7-Austin,19829,25,77978
2019,Cottle,2-Abilene,312,21,1515
2019,Crane,9-Midland,1693,28,5991
2019,Crockett,9-Midland,999,25,4010
2019,Crosby,1-Lubbock,1669,26,6413
2019,Culberson,10-El Paso,463,20,2261
2019,Dallam,1-Lubbock,2230,31,7173
2019,Dallas,3-Arlington,721254,27,2697424
2019,Dawson,9-Midland,3258,24,13611
2019,DeWitt,8-San Antonio,4634,21,21573
2019,Deaf Smith,1-Lubbock,5553,30,18255
2019,Delta,4-Tyler,1122,21,5366
2019,Denton,3-Arlington,208408,24,870845
2019,Dickens,1-Lubbock,333,15,2188
2019,Dimmit,8-San Antonio,3395,29,11533
2019,Donley,1-Lubbock,675,20,3440
2019,Duval,11-Edinburg,3056,26,11803
2019,Eastland,2-Abilene,4099,22,18261
2019,Ector,9-Midland,53039,30,179208
2019,Edwards,8-San Antonio,414,21,2004
2019,El Paso,10-El Paso,240900,28,869040
2019,Ellis,3-Arlington,44628,26,174749
2019,Erath,3-Arlington,8818,21,41086
2019,Falls,7-Austin,3366,20,16712
2019,Fannin,3-Arlington,6981,20,34524
2019,Fayette,7-Austin,5703,22,25900
2019,Fisher,2-Abilene,833,21,3983
2019,Floyd,1-Lubbock,1471,25,5834
2019,Foard,2-Abilene,244,20,1240
2019,Fort Bend,6-Houston,205943,25,810619
2019,Franklin,4-Tyler,2752,25,10885
2019,Freestone,7-Austin,4430,22,19879
2019,Frio,8-San Antonio,4615,23,19718
2019,Gaines,9-Midland,7182,33,21620
2019,Galveston,6-Houston,84288,24,348442
2019,Garza,1-Lubbock,1378,20,6756
2019,Gillespie,8-San Antonio,4965,19,26019
2019,Glasscock,9-Midland,294,22,1349
2019,Goliad,8-San Antonio,1547,20,7672
2019,Gonzales,8-San Antonio,5582,26,21216
2019,Gray,1-Lubbock,5988,25,24040
2019,Grayson,3-Arlington,30447,23,130657
2019,Gregg,4-Tyler,31888,25,125425
2019,Grimes,7-Austin,6310,22,28710
2019,Guadalupe,8-San Antonio,41291,25,165837
2019,Hale,1-Lubbock,9204,27,33527
2019,Hall,1-Lubbock,775,23,3312
2019,Hamilton,7-Austin,1822,22,8234
2019,Hansford,1-Lubbock,1644,28,5802
2019,Hardeman,2-Abilene,940,24,3888
2019,Hardin,5-Beaumont,12656,22,56350
2019,Harris,6-Houston,1310915,27,4887341
2019,Harrison,4-Tyler,17307,25,68004
2019,Hartley,1-Lubbock,1199,20,6064
2019,Haskell,2-Abilene,1242,20,6150
2019,Hays,7-Austin,51105,23,225516
2019,Hemphill,1-Lubbock,1417,31,4527
2019,Henderson,4-Tyler,16918,21,80985
2019,Hidalgo,11-Edinburg,258903,30,860844
2019,Hill,7-Austin,8469,24,35644
2019,Hockley,1-Lubbock,6472,26,24455
2019,Hood,3-Arlington,11531,20,57881
2019,Hopkins,4-Tyler,8628,23,36879
2019,Houston,5-Beaumont,4529,20,22738
2019,Howard,9-Midland,9393,23,40521
2019,Hudspeth,10-El Paso,735,22,3401
2019,Hunt,3-Arlington,21702,23,94285
2019,Hutchinson,1-Lubbock,5366,25,21511
2019,Irion,9-Midland,271,18,1513
2019,Jack,2-Abilene,1882,21,8845
2019,Jackson,8-San Antonio,4050,26,15699
2019,Jasper,5-Beaumont,8314,23,35593
2019,Jeff Davis,10-El Paso,328,15,2129
2019,Jefferson,5-Beaumont,60075,23,258020
2019,Jim Hogg,11-Edinburg,1480,29,5099
2019,Jim Wells,11-Edinburg,11923,28,42697
2019,Johnson,3-Arlington,43172,25,169575
2019,Jones,2-Abilene,3266,17,19766
2019,Karnes,8-San Antonio,3269,21,15309
2019,Kaufman,3-Arlington,31254,25,122724
2019,Kendall,8-San Antonio,9959,22,44686
2019,Kenedy,11-Edinburg,99,21,470
2019,Kent,2-Abilene,156,20,792
2019,Kerr,8-San Antonio,10301,20,51993
2019,Kimble,9-Midland,818,19,4365
2019,King,1-Lubbock,52,17,306
2019,Kinney,8-San Antonio,698,20,3465
2019,Kleberg,11-Edinburg,7066,23,31002
2019,Knox,2-Abilene,984,25,3912
2019,La Salle,8-San Antonio,1611,20,8154
2019,Lamar,4-Tyler,11303,23,50032
2019,Lamb,1-Lubbock,3344,26,12903
2019,Lampasas,7-Austin,4486,21,20885
2019,Lavaca,8-San Antonio,4913,24,20522
2019,Lee,7-Austin,4187,24,17502
2019,Leon,7-Austin,3916,22,17617
2019,Liberty,6-Houston,20681,25,84278
2019,Limestone,7-Austin,5226,22,23544
2019,Lipscomb,1-Lubbock,903,25,3618
2019,Live Oak,11-Edinburg,2429,20,11970
2019,Llano,7-Austin,3117,16,19428
2019,Loving,9-Midland,13,14,91
2019,Lubbock,1-Lubbock,74445,24,312653
2019,Lynn,1-Lubbock,1364,24,5613
2019,Madison,7-Austin,3212,22,14420
2019,Marion,4-Tyler,1933,19,10343
2019,Martin,9-Midland,1626,28,5898
2019,Mason,9-Midland,760,19,3901
2019,Matagorda,6-Houston,9057,24,37064
2019,Maverick,8-San Antonio,17903,30,59379
2019,McCulloch,9-Midland,1922,22,8619
2019,McLennan,7-Austin,64131,26,251303
2019,McMullen,11-Edinburg,123,16,774
2019,Medina,8-San Antonio,11466,23,50118
2019,Menard,9-Midland,416,19,2185
2019,Midland,9-Midland,50544,28,181073
2019,Milam,7-Austin,5952,24,24655
2019,Mills,7-Austin,1020,21,4876
2019,Mitchell,2-Abilene,1849,19,9802
2019,Montague,2-Abilene,4265,22,19247
2019,Montgomery,6-Houston,149360,25,595887
2019,Moore,1-Lubbock,6359,29,21612
2019,Morris,4-Tyler,2765,22,12506
2019,Motley,1-Lubbock,218,19,1174
2019,Nacogdoches,5-Beaumont,13479,21,63981
2019,Navarro,3-Arlington,11574,24,47977
2019,Newton,5-Beaumont,2652,19,13784
2019,Nolan,2-Abilene,4027,26,15589
2019,Nueces,11-Edinburg,94425,25,379038
2019,Ochiltree,1-Lubbock,3329,30,11190
2019,Oldham,1-Lubbock,568,26,2192
2019,Orange,5-Beaumont,19637,23,85744
2019,Palo Pinto,3-Arlington,6203,22,27891
2019,Panola,4-Tyler,5943,24,24531
2019,Parker,3-Arlington,30685,23,133578
2019,Parmer,1-Lubbock,2601,28,9288
2019,Pecos,9-Midland,3998,24,16477
2019,Polk,5-Beaumont,9450,19,48689
2019,Potter,1-Lubbock,31106,25,122653
2019,Presidio,10-El Paso,1468,24,6049
2019,Rains,4-Tyler,2170,19,11325
2019,Randall,1-Lubbock,32711,24,136026
2019,Reagan,9-Midland,1159,28,4122
2019,Real,8-San Antonio,660,19,3403
2019,Red River,4-Tyler,2571,20,12645
2019,Reeves,9-Midland,3379,22,15501
2019,Refugio,11-Edinburg,1693,22,7563
2019,Roberts,1-Lubbock,221,23,977
2019,Robertson,7-Austin,3685,22,16856
2019,Rockwall,3-Arlington,24265,24,99619
2019,Runnels,2-Abilene,2567,23,10948
2019,Rusk,4-Tyler,11389,22,52822
2019,Sabine,5-Beaumont,1840,18,10019
2019,San Augustine,5-Beaumont,1624,19,8445
2019,San Jacinto,5-Beaumont,6310,22,28602
2019,San Patricio,11-Edinburg,18214,26,70615
2019,San Saba,7-Austin,1185,20,5890
2019,Schleicher,9-Midland,834,25,3300
2019,Scurry,2-Abilene,4559,25,18208
2019,Shackelford,2-Abilene,774,23,3394
2019,Shelby,5-Beaumont,6651,26,25565
2019,Sherman,1-Lubbock,847,26,3239
2019,Smith,4-Tyler,56849,24,232715
2019,Somervell,3-Arlington,1971,21,9194
2019,Starr,11-Edinburg,19969,31,64444
2019,Stephens,2-Abilene,2170,23,9573
2019,Sterling,9-Midland,263,21,1238
2019,Stonewall,2-Abilene,311,20,1519
2019,Sutton,9-Midland,986,23,4350
2019,Swisher,1-Lubbock,1786,24,7444
2019,Tarrant,3-Arlington,537604,25,2108938
2019,Taylor,2-Abilene,34110,25,138697
2019,Terrell,9-Midland,208,20,1048
2019,Terry,1-Lubbock,3436,26,13001
2019,Throckmorton,2-Abilene,306,20,1528
2019,Titus,4-Tyler,9166,28,32934
2019,Tom Green,9-Midland,27829,23,121814
2019,Travis,7-Austin,283941,22,1265178
2019,Trinity,5-Beaumont,2664,19,14285
2019,Tyler,5-Beaumont,4198,20,21379
2019,Upshur,4-Tyler,9154,22,41389
2019,Upton,9-Midland,1037,26,3916
2019,Uvalde,8-San Antonio,6958,25,27729
2019,Val Verde,8-San Antonio,13603,28,48334
2019,Van Zandt,4-Tyler,12359,22,55170
2019,Victoria,8-San Antonio,22996,24,96533
2019,Walker,6-Houston,12785,17,73219
2019,Waller,6-Houston,11401,23,49950
2019,Ward,9-Midland,3828,29,13230
2019,Washington,7-Austin,7635,22,35010
2019,Webb,11-Edinburg,82055,30,273467
2019,Wharton,6-Houston,10667,25,41883
2019,Wheeler,1-Lubbock,1453,25,5751
2019,Wichita,2-Abilene,29589,22,133012
2019,Wilbarger,2-Abilene,3040,23,13085
2019,Willacy,11-Edinburg,5447,25,22157
2019,Williamson,7-Austin,144585,25,570803
2019,Wilson,8-San Antonio,11373,22,50837
2019,Winkler,9-Midland,2745,30,9022
2019,Wise,3-Arlington,14800,23,65160
2019,Wood,4-Tyler,8869,20,44993
2019,Yoakum,1-Lubbock,2850,31,9060
2019,Young,2-Abilene,4386,23,18695
2019,Zapata,11-Edinburg,4653,32,14403
2019,Zavala,8-San Antonio,3863,31,12572
2018,Anderson,4-Tyler,10938,19,58293
2018,Andrews,9-Midland,6217,30,20388
2018,Angelina,5-Beaumont,23113,26,89860
2018,Aransas,11-Edinburg,4965,19,26700
2018,Archer,2-Abilene,1743,21,8452
2018,Armstrong,1-Lubbock,355,18,1954
2018,Atascosa,8-San Antonio,13170,26,50265
2018,Austin,6-Houston,6884,23,30002
2018,Bailey,1-Lubbock,2345,31,7582
2018,Bandera,8-San Antonio,3452,16,21083
2018,Bastrop,7-Austin,20495,25,83657
2018,Baylor,2-Abilene,808,22,3640
2018,Bee,11-Edinburg,7409,22,33924
2018,Bell,7-Austin,100615,29,345285
2018,Bexar,8-San Antonio,517732,26,2013625
2018,Blanco,7-Austin,2102,19,11303
2018,Borden,9-Midland,108,16,675
2018,Bosque,7-Austin,3725,21,17828
2018,Bowie,4-Tyler,20050,22,92615
2018,Brazoria,6-Houston,93035,26,362609
2018,Brazos,7-Austin,48638,22,221079
2018,Brewster,10-El Paso,2017,22,9192
2018,Briscoe,1-Lubbock,315,20,1576
2018,Brooks,11-Edinburg,1863,26,7187
2018,Brown,2-Abilene,8595,22,38827
2018,Burleson,7-Austin,3959,23,17589
2018,Burnet,7-Austin,10140,22,47080
2018,Caldwell,7-Austin,10772,25,42953
2018,Calhoun,8-San Antonio,5604,25,22570
2018,Callahan,2-Abilene,2677,20,13437
2018,Cameron,11-Edinburg,126935,30,424462
2018,Camp,4-Tyler,3277,25,13145
2018,Carson,1-Lubbock,1336,23,5848
2018,Cass,4-Tyler,6687,22,30399
2018,Castro,1-Lubbock,2007,28,7275
2018,Chambers,6-Houston,10555,26,40629
2018,Cherokee,4-Tyler,13254,26,51985
2018,Childress,1-Lubbock,1425,20,7078
2018,Clay,2-Abilene,1978,20,9984
2018,Cochran,1-Lubbock,945,29,3279
2018,Coke,9-Midland,626,19,3236
2018,Coleman,2-Abilene,1936,23,8569
2018,Collin,3-Arlington,253266,26,983202
2018,Collingsworth,1-Lubbock,845,27,3172
2018,Colorado,6-Houston,4917,23,21199
2018,Comal,8-San Antonio,30654,22,138302
2018,Comanche,2-Abilene,2991,23,13260
2018,Concho,9-Midland,554,13,4132
2018,Cooke,3-Arlington,9064,23,39470
2018,Coryell,7-Austin,20010,26,77622
2018,Cottle,2-Abilene,322,21,1512
2018,Crane,9-Midland,1635,28,5783
2018,Crockett,9-Midland,986,25,3982
2018,Crosby,1-Lubbock,1659,26,6363
2018,Culberson,10-El Paso,480,21,2275
2018,Dallam,1-Lubbock,2190,31,7112
2018,Dallas,3-Arlington,714767,27,2660715
2018,Dawson,9-Midland,3282,24,13629
2018,DeWitt,8-San Antonio,4598,22,21374
2018,Deaf Smith,1-Lubbock,5619,31,18352
2018,Delta,4-Tyler,1118,21,5355
2018,Denton,3-Arlington,206182,24,844707
2018,Dickens,1-Lubbock,346,16,2204
2018,Dimmit,8-San Antonio,3341,29,11335
2018,Donley,1-Lubbock,680,20,3461
2018,Duval,11-Edinburg,3032,26,11814
2018,Eastland,2-Abilene,4113,22,18307
2018,Ector,9-Midland,51424,30,173797
2018,Edwards,8-San Antonio,416,21,2012
2018,El Paso,10-El Paso,240234,28,861806
2018,Ellis,3-Arlington,44316,26,171816
2018,Erath,3-Arlington,8768,22,40662
2018,Falls,7-Austin,3411,20,16835
2018,Fannin,3-Arlington,7000,20,34459
2018,Fayette,7-Austin,5630,22,25722
2018,Fisher,2-Abilene,826,21,3985
2018,Floyd,1-Lubbock,1491,25,5886
2018,Foard,2-Abilene,243,19,1248
2018,Fort Bend,6-Houston,201789,26,781965
2018,Franklin,4-Tyler,2721,25,10847
2018,Freestone,7-Austin,4465,22,19872
2018,Frio,8-San Antonio,4577,24,19421
2018,Gaines,9-Midland,7065,33,21130
2018,Galveston,6-Houston,82997,24,341737
2018,Garza,1-Lubbock,1364,20,6725
2018,Gillespie,8-San Antonio,4907,19,25848
2018,Glasscock,9-Midland,295,22,1336
2018,Goliad,8-San Antonio,1527,20,7622
2018,Gonzales,8-San Antonio,5560,26,21075
2018,Gray,1-Lubbock,5919,25,23830
2018,Grayson,3-Arlington,30286,23,129610
2018,Gregg,4-Tyler,31825,25,125113
2018,Grimes,7-Austin,6281,22,28476
2018,Guadalupe,8-San Antonio,40585,25,161541
2018,Hale,1-Lubbock,9322,28,33824
2018,Hall,1-Lubbock,785,24,3311
2018,Hamilton,7-Austin,1804,22,8254
2018,Hansford,1-Lubbock,1662,29,5780
2018,Hardeman,2-Abilene,946,24,3899
2018,Hardin,5-Beaumont,12862,23,56216
2018,Harris,6-Houston,1292687,27,4796533
2018,Harrison,4-Tyler,17221,25,67764
2018,Hartley,1-Lubbock,1199,20,6041
2018,Haskell,2-Abilene,1223,20,6107
2018,Hays,7-Austin,49705,23,216516
2018,Hemphill,1-Lubbock,1371,31,4426
2018,Henderson,4-Tyler,16997,21,80755
2018,Hidalgo,11-Edinburg,260012,31,851285
2018,Hill,7-Austin,8485,24,35617
2018,Hockley,1-Lubbock,6429,27,24257
2018,Hood,3-Arlington,11377,20,57119
2018,Hopkins,4-Tyler,8668,24,36710
2018,Houston,5-Beaumont,4519,20,22832
2018,Howard,9-Midland,9201,23,39836
2018,Hudspeth,10-El Paso,751,22,3398
2018,Hunt,3-Arlington,21534,23,93305
2018,Hutchinson,1-Lubbock,5407,25,21563
2018,Irion,9-Midland,272,18,1518
2018,Jack,2-Abilene,1864,21,8866
2018,Jackson,8-San Antonio,3996,26,15520
2018,Jasper,5-Beaumont,8365,23,35649
2018,Jeff Davis,10-El Paso,326,15,2151
2018,Jefferson,5-Beaumont,59854,23,257363
2018,Jim Hogg,11-Edinburg,1473,29,5122
2018,Jim Wells,11-Edinburg,11864,28,42509
2018,Johnson,3-Arlington,42846,26,167450
2018,Jones,2-Abilene,3300,17,19790
2018,Karnes,8-San Antonio,3226,21,15238
2018,Kaufman,3-Arlington,31052,26,120400
2018,Kendall,8-San Antonio,9665,22,43173
2018,Kenedy,11-Edinburg,98,21,464
2018,Kent,2-Abilene,159,20,791
2018,Kerr,8-San Antonio,10264,20,51716
2018,Kimble,9-Midland,813,19,4387
2018,King,1-Lubbock,52,17,303
2018,Kinney,8-San Antonio,694,20,3467
2018,Kleberg,11-Edinburg,7160,23,31028
2018,Knox,2-Abilene,983,25,3888
2018,La Salle,8-San Antonio,1573,20,8000
2018,Lamar,4-Tyler,11364,23,50031
2018,Lamb,1-Lubbock,3399,26,13018
2018,Lampasas,7-Austin,4473,22,20727
2018,Lavaca,8-San Antonio,4824,24,20324
2018,Lee,7-Austin,4183,24,17407
2018,Leon,7-Austin,3856,22,17504
2018,Liberty,6-Houston,20441,25,83276
2018,Limestone,7-Austin,5248,22,23556
2018,Lipscomb,1-Lubbock,886,25,3573
2018,Live Oak,11-Edinburg,2398,20,11912
2018,Llano,7-Austin,3098,16,19408
2018,Loving,9-Midland,13,14,90
2018,Lubbock,1-Lubbock,73819,24,308208
2018,Lynn,1-Lubbock,1386,25,5642
2018,Madison,7-Austin,3161,22,14312
2018,Marion,4-Tyler,1923,19,10389
2018,Martin,9-Midland,1599,28,5757
2018,Mason,9-Midland,745,19,3904
2018,Matagorda,6-Houston,9084,25,37045
2018,Maverick,8-San Antonio,17852,30,58820
2018,McCulloch,9-Midland,1910,22,8576
2018,McLennan,7-Austin,63861,26,249470
2018,McMullen,11-Edinburg,123,16,766
2018,Medina,8-San Antonio,11460,23,49615
2018,Menard,9-Midland,412,19,2187
2018,Midland,9-Midland,48738,28,175090
2018,Milam,7-Austin,5992,24,24662
2018,Mills,7-Austin,1028,21,4885
2018,Mitchell,2-Abilene,1842,19,9764
2018,Montague,2-Abilene,4283,22,19298
2018,Montgomery,6-Houston,146359,25,578410
2018,Moore,1-Lubbock,6436,30,21660
2018,Morris,4-Tyler,2769,22,12551
2018,Motley,1-Lubbock,222,19,1177
2018,Nacogdoches,5-Beaumont,13544,21,63839
2018,Navarro,3-Arlington,11694,24,47962
2018,Newton,5-Beaumont,2699,19,13847
2018,Nolan,2-Abilene,4001,26,15524
2018,Nueces,11-Edinburg,93522,25,374431
2018,Ochiltree,1-Lubbock,3331,30,11073
2018,Oldham,1-Lubbock,582,27,2177
2018,Orange,5-Beaumont,19593,23,85320
2018,Palo Pinto,3-Arlington,6263,22,27931
2018,Panola,4-Tyler,5951,24,24471
2018,Parker,3-Arlington,30404,23,131578
2018,Parmer,1-Lubbock,2643,28,9387
2018,Pecos,9-Midland,3980,24,16397
2018,Polk,5-Beaumont,9427,20,48283
2018,Potter,1-Lubbock,31388,26,122573
2018,Presidio,10-El Paso,1528,25,6206
2018,Rains,4-Tyler,2158,19,11281
2018,Randall,1-Lubbock,32312,24,134004
2018,Reagan,9-Midland,1137,28,4017
2018,Real,8-San Antonio,646,19,3392
2018,Red River,4-Tyler,2571,20,12673
2018,Reeves,9-Midland,3331,22,15287
2018,Refugio,11-Edinburg,1723,23,7554
2018,Roberts,1-Lubbock,230,24,976
2018,Robertson,7-Austin,3722,22,16823
2018,Rockwall,3-Arlington,24286,25,97062
2018,Runnels,2-Abilene,2551,23,10890
2018,Rusk,4-Tyler,11502,22,52892
2018,Sabine,5-Beaumont,1856,18,10116
2018,San Augustine,5-Beaumont,1627,19,8498
2018,San Jacinto,5-Beaumont,6266,22,28348
2018,San Patricio,11-Edinburg,18183,26,69908
2018,San Saba,7-Austin,1180,20,5901
2018,Schleicher,9-Midland,858,26,3292
2018,Scurry,2-Abilene,4522,25,18045
2018,Shackelford,2-Abilene,771,23,3387
2018,Shelby,5-Beaumont,6700,26,25580
2018,Sherman,1-Lubbock,853,27,3211
2018,Smith,4-Tyler,56574,25,230250
2018,Somervell,3-Arlington,1981,22,9101
2018,Starr,11-Edinburg,20000,31,64118
2018,Stephens,2-Abilene,2165,23,9567
2018,Sterling,9-Midland,265,22,1227
2018,Stonewall,2-Abilene,311,21,1513
2018,Sutton,9-Midland,986,23,4325
2018,Swisher,1-Lubbock,1829,24,7486
2018,Tarrant,3-Arlington,534355,26,2074551
2018,Taylor,2-Abilene,33984,25,137915
2018,Terrell,9-Midland,211,20,1044
2018,Terry,1-Lubbock,3410,26,12961
2018,Throckmorton,2-Abilene,308,20,1537
2018,Titus,4-Tyler,9247,28,32896
2018,Tom Green,9-Midland,27605,23,120367
2018,Travis,7-Austin,280278,23,1238590
2018,Trinity,5-Beaumont,2683,19,14321
2018,Tyler,5-Beaumont,4156,19,21396
2018,Upshur,4-Tyler,9164,22,41140
2018,Upton,9-Midland,1024,27,3853
2018,Uvalde,8-San Antonio,7006,25,27541
2018,Val Verde,8-San Antonio,13642,28,48408
2018,Van Zandt,4-Tyler,12325,22,54886
2018,Victoria,8-San Antonio,22894,24,95346
2018,Walker,6-Houston,12559,17,72447
2018,Waller,6-Houston,11389,23,49136
2018,Ward,9-Midland,3703,29,12880
2018,Washington,7-Austin,7632,22,34859
2018,Webb,11-Edinburg,82542,30,270758
2018,Wharton,6-Houston,10676,26,41833
2018,Wheeler,1-Lubbock,1421,25,5712
2018,Wichita,2-Abilene,29612,22,132841
2018,Wilbarger,2-Abilene,3070,23,13130
2018,Willacy,11-Edinburg,5481,25,22162
2018,Williamson,7-Austin,142204,26,552353
2018,Wilson,8-San Antonio,11355,23,49908
2018,Winkler,9-Midland,2663,30,8754
2018,Wise,3-Arlington,14816,23,64505
2018,Wood,4-Tyler,8842,20,44666
2018,Yoakum,1-Lubbock,2804,32,8899
2018,Young,2-Abilene,4385,23,18667
2018,Zapata,11-Edinburg,4655,32,14377
2018,Zavala,8-San Antonio,3818,31,12472
2017,Anderson,4-Tyler,11039,19,58342
2017,Andrews,9-Midland,5899,30,19526
2017,Angelina,5-Beaumont,23157,26,89557
2017,Aransas,11-Edinburg,4827,18,26228
2017,Archer,2-Abilene,1784,21,8516
2017,Armstrong,1-Lubbock,359,18,1952
2017,Atascosa,8-San Antonio,13029,26,49504
2017,Austin,6-Houston,6889,23,29801
2017,Bailey,1-Lubbock,2326,31,7525
2017,Bandera,8-San Antonio,3455,16,20992
2017,Bastrop,7-Austin,20397,25,82448
2017,Baylor,2-Abilene,806,22,3645
2017,Bee,11-Edinburg,7360,22,33657
2017,Bell,7-Austin,99550,29,341136
2017,Bexar,8-San Antonio,510454,26,1974510
2017,Blanco,7-Austin,2123,19,11201
2017,Borden,9-Midland,106,16,669
2017,Bosque,7-Austin,3762,21,17875
2017,Bowie,4-Tyler,20273,22,92598
2017,Brazoria,6-Houston,92622,26,356123
2017,Brazos,7-Austin,47661,22,217040
2017,Brewster,10-El Paso,2023,22,9204
2017,Briscoe,1-Lubbock,321,20,1582
2017,Brooks,11-Edinburg,1876,26,7195
2017,Brown,2-Abilene,8678,22,38758
2017,Burleson,7-Austin,3954,23,17551
2017,Burnet,7-Austin,10053,22,46513
2017,Caldwell,7-Austin,10691,25,42322
2017,Calhoun,8-San Antonio,5597,25,22436
2017,Callahan,2-Abilene,2718,20,13442
2017,Cameron,11-Edinburg,128001,30,422582
2017,Camp,4-Tyler,3260,25,13047
2017,Carson,1-Lubbock,1348,23,5877
2017,Cass,4-Tyler,6719,22,30442
2017,Castro,1-Lubbock,2046,28,7365
2017,Chambers,6-Houston,10433,26,39835
2017,Cherokee,4-Tyler,13272,26,51873
2017,Childress,1-Lubbock,1442,20,7079
2017,Clay,2-Abilene,2010,20,10075
2017,Cochran,1-Lubbock,926,28,3251
2017,Coke,9-Midland,640,20,3246
2017,Coleman,2-Abilene,1929,22,8609
